Abdon	30/Jul.
Abibon disc.	03/Août.
Abundi m.	10/Dec.;09/Dec.
Abundius	20/Août.
Achatius	22/Jun.
Achilleus etc. mm. Rom.	12/Mai.
Achilleus mm. Valent.	23/Avril.
Adalardus ab. Corb.	02/Jan.;10/Oct.
Adalberti ep. Prag. m. (Oct.)	30/Avril.
Adalbertus ep. Leod. (Tr.)	06/Nov.
Adaucti m.	23/Mars.;31/Août.
Adauctus mm. Rom.	30/Août.
Adelheidis imp.	17/Dec.
Adelphi ep. Mett.	29/Août.
Adelphus ab. Romaric.	11/Sept.
Adiutorius cf.	12/Oct.
Adriani m.	18/Sept.
Adrianus m. Chalcedon.	13/Oct.
Adrianus m. Nicomed.	04/Mars.;08/Sept.;06/Sept.;05/Mars.
Aegidius ab. Nemaus.	01/Sept.
Aemilianus ab. Burdigal.	16/Nov.
Aemilianus ab. Turiason.	12/Nov.
Afra m. August. Vind.	05/Août.;07/Août.
Africanus (Ded. alt.)	06/Mai.
Africanus ep. in Aquitan.	01/Mai.
Agape v. m. Antioch.	10/Mars.
Agapitus m. in Phryg.	24/Mars.
Agapitus m. Praenest.	18/Août.
Agapitus m. [in Numid.?]	20/Avril.
Agapitus mm. Rom.	06/Août.
Agapitus mm. Rom. (Tr.)	06/Oct.
Agapitus pp.	22/Avril.
Agapitus [= Agapius m. Tarsi?]	29/Avril.
Agatha v. m.	05/Fev.
Agatho pp.	11/Jan.
Agentius mm.	30/Oct.
Agericus ep. Virdun.	01/Dec.
Agilulfus ep. Colon.	09/Jul.
Agilus ab. Resbac.	23/Jan.
Agnellus ab. Neapol.	14/Dec.
Agnes v. m. Rom.	21/Jan.
Agnes v. m. Rom. (Oct., al. II°)	28/Jan.
Agnetis v. m. (II°)	27/Jan.
Agni m.	19/Août.
Agoardus	24/Jun.
Agricola ep. Cabilon.	18/Mars.
Agricola m. Bonon. [soc. Vitalis]	27/Nov.
Agricola mm. Raven.	16/Dec.
Aichadrus ab. Gemmetic.	14/Sept.;15/Sept.
